Movie Name,Rating,Rating Count
Born Behind Bars,4.1,725
Boonie Bears: Blast Into the Past,5.4,261
Bones,6.8,50404
Bold Caballero (1936),5.7,234
Boarding School Juliet,7.3,872
Bo on the Go,7.2,19
Blue Thunder,6.4,22792
Blue Steel,5.8,17010
Blue Mountain State,5.7,16301
Blow The Man Down,6.4,11634
Bloodrayne: The Third Reich,3,6746
Blood On The Sun,6,2169
Blood and Lace,7.1,12363
Blood & Treasure,5.4,3682
Blind Fury,6.3,18207
Blade of the Immortal,6.7,19021
Blackout,3.8,4538
Blackmail,6.9,11583
Blackbird (4K UHD),6.6,5556
"Black, White & Us",5,5982
Black Widow,6.7,408681
Black Water,5.8,15730
Black Sabbath - Paranoid (Classic Album),7.9,535
Black Robe,7.1,7516
Black Pumpkin,4.2,471
Black Boys,4.8,1051
Birdy,7.2,24337
Billy the Exterminator,5.7,6308
Billionaire Boys Club,5.6,14284
Bigil,6.7,23038
Bharat,4.7,31934
Bhaagamathie,7,3269
Beyond the Sky,6,432
Between Two Ferns,6.1,35634
Best in Bridal,5.5,112799
Beowulf and Grendel,5.8,18403
Beowulf,6.3,171891
Benji,6.3,5274
Beneath the Sea,5.9,6045
Beneath Hill 60,7,8635
Belle and Sebastian,6.9,5385
Behind Green Lights,6.4,1047
Behind Bars: Rookie Year,7.8,247
Bed Of Roses,6,8624
Bebe's Kids,5.8,5414
Beauty And The Geek Australia,7.1,325626
BEATLESS,7.7,85927
Beaten,6.4,74
Beast Mode,3.8,410
Bear's Wild Weekends,2.7,335
Bear With Us,6.1,1239
Be the BOSS,6.8,75522
Be Afraid,6.8,41947
Battle 360,7.6,846891
Batla House,7.2,12341
Bashful Bachelor,5.2,163
Barbie Dreamtopia,5.8,77
Barbie - Vlogger,7.6,37
Bang The Drum Slowly,6.8,6111
Bang Baaja Baaraat,7.2,17737
Bandobast,6.2,6160
Bandish Bandits,6.4,11200
BANANA FISH,8.2,7584
Bad Match,5.6,4685
Bad Kids of Crestview Academy,4.7,2312
Bad Company,5.6,49392
Bad Ass 2: Bad Asses,5.6,5014
Bad Ass,5.4,19547
Backtrack,5.9,13136
BABYLON,7.1,147096
Baby Cat,4.9,80
Ayogya,6.1,1287
Author The JT LeRoy Story,7.1,1245
Atone,7.8,292356
Atom: the Beginning,6.7,273523
Atlas Shrugged: Part III,4.3,3759
Atlas Shrugged: Part II,4.3,3759
Atlantis,6.9,129253
Atlantic: A Year in the Wild,7.7,8663
Aruvi,8.4,13625
Arthur,5.7,52700
Arpo the Robot for All Kids - Supermarket Adventures & More Funny Kids Cartoons,6.1,38
Arpo the Robot for All Kids - Save the Baby & More Robot Kids Cartoon,6.1,38
Arpo the Robot for All Kids - Peekabooboo & More Cartoons for Kids,6.1,38
Arpo the Robot for All Kids - Kung Fu Time & More Cartoons for Kids,6.1,38
Arpo the Robot for All Kids - Germ War & More Funny Kids Cartoons,6.1,38
Arpo the Robot for All Kids - Burglary Alert & More Robot Cartoons,6.1,38
Arpo the Robot for All Kids - Boy in Bubble & More Robot Cartoons for Kids,6.1,38
Arpo the Robot for All Kids - Arpo at the Zoo & More Robot Kids Cartoons,6.1,38
Arpo the Robot for All Kids - Alien Invasion & More Robot Kids Cartoons,6.1,38
Around the World in One Hour,5.8,93286
Around The World in 90 Minutes,5.8,93286
Around The World in 30 Minutes,5.8,93286
Armed Girl's Machiavellism,6.6,491
Arc,6.4,68713
Another Mother's Son,6.8,1561
Annedroids,8,625211
Anna Nicole Smith,6.4,2856
Anna,6.6,89437
Animal Kingdom,7.2,59528
Anger Management,6.2,223941
Angels in the Snow,6.2,33630
Angela's Ashes,7.3,22728
Angel On My Shoulder,6.8,3074
Andrew Dice Clay: One Night with Dice,6.6,196
And So It Goes,5.8,14948
Anatomy Of A Psycho,4.1,602
An American Carol,4,10015
Amma Ki Boli,6.7,1354
Amish Grace,7,2021
American Restoration,6.6,148768
American Playboy,5.8,41326
American Pickers,5.7,25496
American High School,2.3,2756
American Experience: Wyatt Earp,8.2,9
American Experience: War of the Worlds,6.5,465509
American Experience: The Swamp,8.1,258
American Experience: The Race Underground,8.1,258
American Experience: Tesla,8.1,258
American Experience: Butch Cassidy and the Sundance Kid,8,223095
American Animals,7,47889
America The Story of Us,7.5,12667
Ambili,6.9,1604
Amazon Funnies – 10 Minute Stand-ups,3.5,121
Amateur Night,5.1,6100
Altair: A Record of Battles,6.3,429
Alpha House,3.7,2864
Almost Royal,6.4,7054
Alley Cat,5.3,988
All Together Now,6.5,4908
All or Nothing: Tottenham Hotspur,7.5,11289
All Or Nothing: New Zealand All Blacks,8.1,1081
All or Nothing: Manchester City,7.5,11289
All or Nothing (TV-14),7.5,11289
All or Nothing,7.5,11289
All is Bright,5.6,6667
Alien Code,5.7,3731
Alias,5.8,146
Albion: The Enchanted Stallion,5.2,1575
Albert & Junior: Journey of discovery for babies,6.7,25293
Agent Sai Srinivasa Athreya,8.3,15625
Agent Sai (Hindi),8.3,15625
Agatha Christie's The ABC Murders,6.6,11070
Agatha Christie's Ordeal By Innocence,5.1,1027
After the Rain,7.7,4361
After School,2.1,313
Afsos,6.6,150013
Adventures of Kii & Yii - Little Baby Bum,7.3,238995
Adventure Agents,7.2,11104
Act of Will,6.4,70945
Across the Pacific,6.8,5333
Ace In The Hole,8.1,38193
Accidentally Engaged,5.7,2519
Above & Beyond,5.7,7993
About Alex,6.3,7746
Ablaze,3.4,718
Abducted,6.8,21462
Aakaasam Nee Haddhu Ra (Telugu),8.7,120981
A Year in Port,6.9,83
A Woman Scorned: The Betty Broderick Story: Part I,7.1,1384
A Turtle's Tale 2: Sammy's Escape from Paradise,5.6,2422
A Trip Under the Sea,8.1,27563
A Taxi Driver,7.9,28766
A Talent For The Game,6.1,46734
A Stitch in Time,6.5,218
A Second Chance,6.8,6698
A Rainy Day in New York,6.5,48512
A Portrait Of Postwar Japan,8.1,102865
A Place in the Sun,7.7,24046
A Nun's Curse,2.7,455
A Mile in His Shoes,7,3949
A Mighty Heart,6.6,28057
A Haunting on Dice Road: The Hell House,5.7,535
A Girl Like Her,7,7292
A Girl and Three Sweethearts,6.1,56520
A Farewell To Arms,6.4,6557
A Death in the Gunj,7.4,5744
A Deadly Legend,2.6,281
A Christmas Kiss II,4.7,228
A Brilliant Young Mind,7.1,29948
A Box for Rob,5.7,643
99 Days With the Superstar,7.1,8520
9/11 Phone Calls from the Towers,8.3,137
7th And Westlake Nino's Revenge,4.8,82
6-Headed Shark Attack,2.5,7275
41,6.2,2468
37-Teen,4.3,212
33 & Beyond: The Royal Art of Freemasonry,6.9,39192
2.0 (Telugu),8.3,1038703
2.0 (Tamil),9.6,357
2.0 (Hindi),7.8,31160
15 Minutes of War,6.4,3223
13 Nights of Elvira,5.5,12296
12 Rounds 3: Lockdown,5.1,4486
102 Not Out,7.4,7416
'Allo 'Allo!,6.2,8901
Wonder Wheel,6.2,30211
Wolf Creek 2,6.1,21983
Where The Truth Lies,6.4,18586
The Limey,6.9,34152
The Lighthouse,7.4,239704
The Goldfinch,6.4,25832
The Dressmaker,7,63955
